arxiv_id,published_utc,updated_utc,title,authors,primary_category,categories,abstract,pdf_url,entry_url
2605.21419v1,2026-05-20T17:13:10+00:00,2026-05-20T17:13:10+00:00,Cosmological Collider Signatures from Right-Handed Neutrino Loop,Jingtao You; Linghao Song; Chengcheng Han; Hong-Jian He; Xingang Chen; Zhong-Zhi Xianyu,hep-ph,hep-ph; astro-ph.CO; gr-qc; hep-th,"We study cosmological collider (CC) signatures generated by right-handed neutrino loops in the setup of inflation combined with neutrino seesaw mechanism. We formulate the inflaton interaction with the right-handed neutrino through a unique dimension-5 operator respecting shift symmetry, which induces an effective chemical potential in the slow-roll background, leading to helicity-dependent right-handed-neutrino production and enhancing the CC signatures. The right-handed neutrino is described by two-component Weyl spinor with Majorana mass term. Using the Schwinger-Keldysh (SK) formalism, we derive a set of seed integrals for fermion propagators of the right-handed Majorana neutrino. With these we compute the factorized nonlocal contributions to the three-point inflaton correlator generated by the right-handed-neutrino triangle loop. We show that the chemical potential can substantially soften the heavy-mass Boltzmann suppression and amplify the oscillatory non-Gaussianity signatures associated with the dominant helicity mode. These provide a systematic framework for analyzing the fermion loop signatures in the cosmological collider physics and demonstrate that the heavy right-handed neutrinos associated with seesaw mechanism may leave observable imprints in the primordial non-Gaussianities.",https://arxiv.org/pdf/2605.21419v1,http://arxiv.org/abs/2605.21419v1
2605.21377v1,2026-05-20T16:39:51+00:00,2026-05-20T16:39:51+00:00,Causal UV completions of relativistic hydrodynamics,Robbe Brants,hep-th,hep-th; hep-ph; math-ph; nucl-th,"Relativistic hydrodynamics successfully provides an effective field theory description for the low energy regime of many out-of-equilibrium systems. On the other hand, in this paper we proof that any stand-alone hydrodynamic EFT is inherently acausal and therefore requires the addition of transient UV modes in order to restore causality. This is made possible by the exponential decay of dissipative hydrodynamics in a majority of the lightcone, allowing the possibility of a causal description that still reduces to the hydrodynamic one at late timescales. We then investigate the emergence and possible restrictions of the non-hydrodynamic modes in these causal UV completions.",https://arxiv.org/pdf/2605.21377v1,http://arxiv.org/abs/2605.21377v1
2605.21327v1,2026-05-20T15:53:14+00:00,2026-05-20T15:53:14+00:00,Universal fusion category symmetries on tensor products of infinite-dimensional Hilbert spaces,Ian Bunner; Corey Jones,math-ph,math-ph; cond-mat.str-el; hep-th; math.OA; math.QA,"We show that anyon chains, after stabilizing with infinite-dimensional ancilla spaces, factorize locally as tensor products of infinite-dimensional Hilbert spaces. This implies that any unitary fusion category can be realized as symmetries on a tensor product of infinite-dimensional Hilbert spaces. We then show that any two anyon chains with the same symmetry category are related by a symmetry-compatible locality-preserving unitary after stabilizing with infinite-dimensional ancilla, showing that for a fixed fusion category, there is a single stable equivalence class of symmetry realizations on the lattice via anyon chains. As a corollary of our proof, we show that the physical boundary algebras of Levin-Wen type models are bounded spread isomorphic after stabilization if and only if they have the same bulk topological order.",https://arxiv.org/pdf/2605.21327v1,http://arxiv.org/abs/2605.21327v1
2605.21326v1,2026-05-20T15:52:26+00:00,2026-05-20T15:52:26+00:00,Matching $A$ with $F$ in long-range QFTs,Lorenzo Benfatto; Omar Zanusso,hep-th,hep-th; cond-mat.stat-mech,"Unitarity is often a crucial ingredient in establishing theorems -- such as the $A$-theorem -- on the irreversibility of the renormalization group flow. The strongest thesis of this type of theorems would be that there exists a scalar function $A$ and a positive definite metric $G_{IJ}$ in the space of couplings such that the renormalization group flow satisfies a gradient equation, $\partial_I A= G_{IJ}β^J$, in which case $A$ is locally monotonic along the flow. In this paper we consider the long-range multiscalar $φ^4$ theory, which is a nonunitary model that is believed to be conformally invariant at fixed points, and show that its renormalization group flow satisfies the gradient structure up to the third loop order in the coupling. We also show that $A$ and $G_{IJ}$ can be matched to the leading nontrivial order with the sphere free-energy $\tilde{F}$ and Zamolodchikov's metric $C_{IJ}$ of the corresponding conformal theory concentrating on the examples of the long-range vector $O(N)$ and hypercubic $H_N$ models. Our results imply a perturbative proof of the $\tilde{F}$-theorem at the leading nontrivial order. We conclude the paper discussing briefly whether this result should hold to the next orders in perturbation theory.",https://arxiv.org/pdf/2605.21326v1,http://arxiv.org/abs/2605.21326v1
2605.21252v1,2026-05-20T14:41:16+00:00,2026-05-20T14:41:16+00:00,Exact Holographic Kinematics in AdS/CFT,Haitang Yang,hep-th,hep-th; gr-qc; hep-ph,"We propose that holography contains an exact kinematic sector distinct from holographic dynamics. The appropriate setting for this sector is a CFT on an open solid torus in the Weyl frame. The open solid torus introduces an intrinsic scale, and the Weyl frame makes this scale manifest as an extra bulk direction. The resulting bulk-boundary pairs are exact and finite: no cutoff, large-$N$ limit, strong-coupling assumption, or heavy-operator approximation is required. The AdS geometry appearing in this sector should be understood as a kinematic geometry; only in special CFTs and appropriate limits is it promoted to a dynamical semiclassical bulk. The standard boundary-anchored dictionary entries are recovered only as singular limits. As a striking demonstration, we show that Weyl-frame two-point functions provide a replica-free definition of entanglement entropy.",https://arxiv.org/pdf/2605.21252v1,http://arxiv.org/abs/2605.21252v1
2605.21222v1,2026-05-20T14:14:18+00:00,2026-05-20T14:14:18+00:00,$D^0$--$D_s^+$ elliptic-flow splitting from sequential hadronization in O--O collisions at $\sqrt{s_{NN}} = 5.36$ TeV,Hui Du; Xiao-Wei Hao; Wei Dai; Jiaxing Zhao; Ben-Wei Zhang; Enke Wang,hep-ph,hep-ph; hep-th,"We investigate the elliptic-flow splitting between prompt $D^0$ and $D_s^+$ mesons in O--O and Pb--Pb collisions within a heavy-quark transport framework with sequential hadronization, in which $D_s^+$ forms at $1.2\,T_c$ and $D^0$ at $T_c$. We present predictions for the $p_T$-differential $v_2$ and $D_s^+/D^0$ yield ratio in O--O $0$--$20\%$ collisions at $\sqrt{s_{NN}} = 5.36$~TeV. The sequential scenario reproduces the $v_2(D^0) > v_2(D_s^+)$ ordering observed in preliminary ALICE data and predicts an enhanced $D_s^+/D^0$ ratio at low $p_T$, whereas a simultaneous baseline yields the opposite $v_2$ ordering. The splitting in O--O is substantially smaller than in Pb--Pb $30$--$50\%$, which we trace to the competition between the initial geometric eccentricity and the duration of the $1.2\,T_c \to T_c$ evolution window. A systematic scan across nine collision configurations reveals a universal linear scaling between the hadronic splitting and the partonic flow increment accumulated during this window, establishing the $D^0$--$D_s^+$ flow splitting as a hadronization chronometer of the quark-gluon plasma.",https://arxiv.org/pdf/2605.21222v1,http://arxiv.org/abs/2605.21222v1
2605.20995v1,2026-05-20T10:35:00+00:00,2026-05-20T10:35:00+00:00,Wasserstein Space of Quantum Chaos,Koji Hashimoto; Norihiro Tanahashi; Kentaroh Yoshida,hep-th,hep-th; gr-qc; quant-ph,"We find that the effective dimension of the Wasserstein space of energy eigenstates decreases as a quantum system becomes more chaotic. To demonstrate this, we study a quantum coupled harmonic oscillator system using Husimi Q-representations, to which Sinkhorn-regularized optimal transport is applied to construct an embedding geometry via the Gram-spectrum method. We also demonstrate that exponential OTOC growth, referred to here as quantum scrambling even in the absence of chaos, induces a folding structure in the emergent Wasserstein space, which may underlie the chaotic reduction of the Wasserstein dimension. At the separatrix (the scrambling point) of the inverted harmonic oscillator, the Wasserstein distance correctly captures the Lyapunov exponent. Furthermore, we discover that a branching structure in the Wasserstein space signals quantum scar states within the chaotic sea of phase space. Our optimal transport approach thus provides a new diagnostic for quantum chaos, quantum scrambling, quantum scars, and quantum Lyapunov exponents. The observed chaotic dimensional reduction also supports the recent conjecture [arXiv:2604.17649] that the Wasserstein space serves as an emergent holographic space through the manifold hypothesis, since chaoticity is a characteristic signature of black holes in holography.",https://arxiv.org/pdf/2605.20995v1,http://arxiv.org/abs/2605.20995v1
2605.20913v1,2026-05-20T08:57:55+00:00,2026-05-20T08:57:55+00:00,Chaos-Integrability Transition in the BPS Subspace of the $\mathcal{N}=2$ SYK Model,Leon Miyahara; Shono Shibuya,hep-th,hep-th; cond-mat.str-el; quant-ph,"We study chaos-integrability transition purely within a BPS subspace of a specific supersymmetric model that interpolates between the chaotic $\mathcal{N}=2$ SYK model and an integrable $\mathcal{N}=2$ ""commuting"" SYK model. Using the framework of BPS chaos, we analyze the spectrum of an operator projected onto the BPS subspace. We numerically find that its spectral statistics exhibit random-matrix behavior near the SYK limit and smoothly transitions to Poisson statistics near the integrable limit. Our results provide a direct example of a chaos-integrability crossover diagnosed solely from BPS states.",https://arxiv.org/pdf/2605.20913v1,http://arxiv.org/abs/2605.20913v1
2605.20851v1,2026-05-20T07:43:48+00:00,2026-05-20T07:43:48+00:00,Integrable sigma models with Haantjes structure on ${H_{4}}$ Lie group,Mirenayatollah Bahadori; Ali Eghbali; Adel Rezaei-Aghdam,hep-th,hep-th,"By solving algebraic relations for the conditions of Haantjes structure on a Lie algebra ${\G}$ and by using the corresponding automorphism group we proceed to classify all inequivalent algebraic Haantjes structures on ${\G}$. In this manner, we obtain 34 inequivalent algebraic Haantjes structures on the ${h_{4}}$ Lie algebra. We deform the chiral sigma model on a Lie group by using Haantjes structure on it. Then we try to obtain conditions on this structure such that the deformed sigma model remains to be integrable. Finally, using the ${h_{4}}$ Haantjes structures and solving this conditions three new integrable sigma models on the ${H_{4}}$ Lie group are obtained.",https://arxiv.org/pdf/2605.20851v1,http://arxiv.org/abs/2605.20851v1
2605.20791v1,2026-05-20T06:38:05+00:00,2026-05-20T06:38:05+00:00,First mass determination of electroweak vortex rings in the Standard Model,Dan Zhu; Xurong Chen; Qingyue Zhang; Khai-Ming Wong,hep-ph,hep-ph; hep-th,"We report the first rigorous evaluation of the physical mass of electroweak vortex rings, establishing precise values of 18.01 and 26.80 TeV for solutions characterized by different winding numbers. Analysis of the internal structure reveals that repulsive interactions shape the geometry of these configurations, while complex current distributions lead to a neutral analogue of Ampere's circuital law, suggesting a corresponding self-stabilizing pinch mechanism. These findings set the energy scales for the potential observation of such configurations at future colliders and offer a framework for understanding topological structures in the Standard Model.",https://arxiv.org/pdf/2605.20791v1,http://arxiv.org/abs/2605.20791v1
